topic,subtopic,keywords,exam_boards,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty
Astrophysics and Cosmology,Stellar Evolution,stellar evolution;protostar;life cycle,Eduqas;AQA;OCR;Edexcel,What is the first stage in the life cycle of a star?,Main sequence,Red giant,Protostar,White dwarf,C,A star forms from a collapsing cloud of gas and dust known as a protostar.,easy
Astrophysics and Cosmology,Stellar Evolution,main sequence;equilibrium;forces,Eduqas;AQA;OCR;Edexcel,What causes a main sequence star to remain stable?,Electromagnetic repulsion,Rotation,Gravitational collapse and radiation pressure in equilibrium,Low mass,C,A main sequence star is stable due to the balance between gravitational forces and radiation pressure from fusion.,easy
Astrophysics and Cosmology,Stellar Evolution,main sequence;fusion;hydrogen,Eduqas;AQA;OCR;Edexcel,What process powers a main sequence star?,Nuclear fission,Chemical reactions,Gravitational contraction,Nuclear fusion of hydrogen,D,Main sequence stars produce energy by fusing hydrogen nuclei into helium in their cores.,easy
Astrophysics and Cosmology,Stellar Evolution,stellar evolution;sun;white dwarf,Eduqas;AQA;OCR;Edexcel,What happens to a star like the Sun when it runs out of hydrogen fuel?,It collapses into a neutron star,It becomes a white dwarf,It explodes in a supernova,It becomes a black hole,B,"After hydrogen is exhausted, a Sun-like star becomes a red giant and eventually sheds its outer layers, leaving behind a white dwarf.",medium
Astrophysics and Cosmology,Stellar Evolution,supernova;massive star;life cycle,Eduqas;AQA;OCR;Edexcel,Which type of star ends its life as a supernova?,Red dwarf,Sun-like star,Massive star,White dwarf,C,"Only massive stars go supernova at the end of their lives, potentially leaving behind neutron stars or black holes.",medium
Astrophysics and Cosmology,Stellar Evolution,planetary nebula;star death;white dwarf,Eduqas;AQA;OCR;Edexcel,What is a planetary nebula?,A region where new stars are born,A collapsed star,A shell of gas ejected by a dying Sun-like star,A region of high gravity,C,Planetary nebulae are shells of gas ejected when a low to intermediate mass star dies.,medium
Astrophysics and Cosmology,Stellar Evolution,stellar remnants;black hole;density,Eduqas;AQA;OCR;Edexcel,Which stellar remnant is the densest?,White dwarf,Neutron star,Black hole,Red giant,C,"Black holes are the densest known objects, with gravitational fields so strong that not even light can escape.",medium
Astrophysics and Cosmology,Stellar Evolution,white dwarf;degeneracy pressure;forces,Eduqas;AQA;OCR;Edexcel,Which force prevents the collapse of a white dwarf?,Gravitational repulsion,Electron degeneracy pressure,Neutrino pressure,Magnetic field pressure,B,Electron degeneracy pressure resists further collapse of a white dwarf once fusion stops.,hard
Astrophysics and Cosmology,Stellar Evolution,supernova;mass;neutron star;black hole,Eduqas;AQA;OCR;Edexcel,A massive star ends its life in a supernova. What determines whether it becomes a neutron star or black hole?,The original mass of the star,Its distance from Earth,The speed of its rotation,Its composition,A,The mass of the core after the supernova determines whether the remnant is a neutron star or collapses into a black hole.,hard
Astrophysics and Cosmology,Stellar Evolution,chandrasekhar limit;white dwarf;collapse,Eduqas;AQA;OCR;Edexcel,What is the Chandrasekhar limit?,The maximum size of a star,The mass limit for a star to become a red giant,The maximum mass of a white dwarf before it collapses,The energy required for fusion,C,The Chandrasekhar limit (~1.4 Mâ˜‰) is the maximum mass a white dwarf can have before collapsing into a neutron star.,hard
